#,name,batch,date_announced,link,description,type,career_stage,personal_links,personal_info,mr_posts,project_links,,,Categories
1,Tymofiy Mylovanov,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Anonymous grant for writing in Eastern Europe. 
I am pleased to be able to announce that the very first Emergent Ventures winner, several years ago, was Tymofiy Mylovanov, an Ukrainian economist affiliated with the University of Pittsburgh.  Bloomberg covered Tymofiy’s all-important logistics activities in Ukraine here as explained by MR.  And here is a good Pittnews profile.

Tymofiy has been so impactful he gets a cohort of his own, in addition to being the very first winner.  The early EV grant to Tymofiy was to encourage him to write on the Ukraine economy, in Ukrainian, and this led in turn to his being appointed the Economy Minister in the Zelensky cabinet, which later morphed into his current set of responsibilities in Ukraine.  (Not all EV grants are publicized up front, for a variety of reasons).

Very recently Emergent Ventures made a grant to the Kyiv School of Economics, led by Tymofiy, and if you wish you can support them here.  We are delighted to be helping his efforts and to have him and the School as our twentieth cohort.",Writing (Online),N/A,-,-,-,-,,,Writing (Book)
2,Topos House,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Pledged grant to San Francisco’s Topos House, conditional on finding a “social science prodigy” to live in the house for a while and interact with the other Topos fellows.",Non profit,N/A,-,-,-,retreat.topos.house/,,,Writing (Online)
3,18-year-old economics prodigy,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Travel grant made to 18-year-old economics prodigy, to travel to San Francisco to meet with members of the “rationality community.”",Travel,High school,-,-,-,-,,,Research
4,Mark Lutter and his Center for Innovative Governance Research,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Grant to support the work of Mark Lutter and his Center for Innovative Governance Research, on charter cities and also an attempt to create a new charter city.",Non profit,Middle,"linkedin.com/in/mark-lutter-a23a7669/
twitter.com/MarkLutter ","Washington
Founder and Executive Director at Charter Cities Institute
chartercitiesinstitute.org/ ","marginalrevolution.com/marginalrevolution/2020/07/mark-lutter-on-hong-kong-in-ireland.html
marginalrevolution.com/marginalrevolution/2018/10/17-minute-tyler-cowen-talk-charter-cities.html ",marklutter.com/,,,Travel
5,Harshita Arora,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Grant to Harshita Arora to help her pursue work in brain science, including brain-computer interfaces to help disabled people manipulate and move objects.",Research,High school,"twitter.com/aroraharshita33
linkedin.com/in/harshita-arora11/
","San-Francisco, California
Co-founder of AtoB, a technology startup in the Bay Area building Stripe for Trucking
atob.com/ 
harshita@atob.com",marginalrevolution.com/marginalrevolution/2020/04/emergent-ventures-india.html,harshitaarora.com/,,,Career development
6,Leonard Bogdonoff,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,Leonard Bogdonoff has a project to scrape Instagram and create a searchable concordance of street art around the world.,Non profit,Middle,"linkedin.com/in/rememberlenny/
twitter.com/rememberlenny","New York
Co-founder of Milk, Milk Video unites teams managing, editing, and sharing video assets so everyone can produce better content, faster.
milkvideo.com/ ",-,"rememberlenny.com/ 
medium.com/@rememberlenny ",,,Non profit
7,Juan Pablo Villarino,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Travel and conference grant to Juan Pablo Villarino, from Argentina, sometimes called “the world’s greatest hitchhiker.”",Travel,Middle,"linkedin.com/in/juan-pablo-villarino-b3ab4920/?originalSubdomain=ar 
twitter.com/losacrobatas","Argentina
Author of acrobatadelcamino.com Argentina’s first travel blog and “Hitchhiking in the Axis of Evil – By thumb in Iraq, Iran and Afghanistan”. ","marginalrevolution.com/marginalrevolution/2018/07/conversation-juan-pablo-villarino.html
marginalrevolution.com/marginalrevolution/2019/09/karachi-and-the-greater-violence-of-new-world-cities.html ",medium.com/conversations-with-tyler/tyler-cowen-juan-villarino-travel-hitchhiking-culture-c4e69e38d622,,,Startup
8,Ben Southwood,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Ben Southwood, public intellectual from England, support for his writing and research on why progress in science has slowed down.",Writing (Online),Middle,"twitter.com/bswud
linkedin.com/in/ben-southwood-805824b6/?originalSubdomain=uk ","UK, Camden
Head of Housing, Transport & Urban Space Policy Exchange policyexchange.org.uk/  
 Editor, worksinprogress.co 
Co-founder straightuplondon.com/ ","marginalrevolution.com/marginalrevolution/2019/11/problems-with-the-tfp-concept-from-my-new-paper-with-ben-southwood.html
marginalrevolution.com/marginalrevolution/2019/11/is-the-rate-of-scientific-progress-slowing-down.html ",-,,,Podcast
9,Eric Lofgren,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Eric Lofgren has worked at the Pentagon for seven years and now will spend a year at Mercatus/George Mason to develop the skills, including blogging and podcasting, to become the nation’s leading public intellectual on defense procurement.",Career development,Middle,"linkedin.com/in/elofgren/
twitter.com/acqtalk/","Washington
Blogger/podcaster | Mason GovCon researcher | Defense acquisition
acquisitiontalk.com/wp-login.php?redirect_to=https%3A%2F%2Facquisitiontalk.com%2Fwp-admin%2F&reauth=1",marginalrevolution.com/marginalrevolution/2021/02/the-rot-is-deep.html,acquisitiontalk.com/2018/11/remember-days-when-congress-didnt-html/,,,
10,Gaurav Venkataraman,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"A two-year pledge to Gaurav Venkataraman, at University College of London, to support his doctoral work on the idea of RNA-based memory.",Research,Middle,"linkedin.com/in/gaurav-venkataraman-197581108/?originalSubdomain=uk
twitter.com/gaurav_ven","London
Scientist at University of Cambridge, Sociology enthusiast.  Cofounder of Trisk Bio, working on manufacturing infrastructure for biology, in London.",marginalrevolution.com/marginalrevolution/2020/04/it-is-better-to-do-lots-of-tests-even-if-they-are-not-entirely-accurate.html,-,,,
11,Joy Buchanan,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Joy Buchanan, economist, a grant to conduct research on why people become entrepreneurs and initiate start-ups, using the methods of experimental economics.",Research,Middle,"linkedin.com/in/joy-buchanan-36126b7/
twitter.com/aboutjoy","USA
Assistant Professor of Quantitative Analysis and Economics
Brock School of Business
economnomnomics.com/ ",marginalrevolution.com/marginalrevolution/2020/02/willingness-to-be-paid-who-trains-for-tech-jobs.html,sites.google.com/site/joyabuchanan/,,,
12,Michael Sonnenschein,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Michael Sonnenschein, Masters student at MIT in development economics (and a television screenwriter) a grant for research to reform and improve the Haitian lottery system, and turn it into a means to combat poverty.",Research,Middle,twitter.com/michaelsonnensc?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"Los-Angeles
TV writer, Emergent Ventures fellow for economic development in Haiti 
mercatus.org/emergent-ventures ",marginalrevolution.com/marginalrevolution/2019/02/conversations-with-tyler-bleg.html,zocalopublicsquare.org/2013/12/02/how-to-dress-like-a-tv-writer/ideas/nexus/,,,
13,Stefan Roots,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Stefan Roots is writing and editing an on-line and also paper newspaper to cover local news in Chester, Pennsylvania, aimed at the African-American community.",Writing (Online),Middle,"twitter.com/SeRoots?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
linkedin.com/in/stefanroots/ ","Chester, Pennsylvania
Author, engineer, and community journalist in Chester PA
rootsforchester.com/",-,rootsforchester.com/,,,
14,Jeffrey Clemens,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Jeffrey Clemens, professor at UC San Diego, a grant to help him develop his on-line writing in economics.",Writing (Online),,"linkedin.com/in/jeffrey-clemens-62775439/
twitter.com/jeffreypclemens","San Diego
Associate Professor of Economics at University of California San Diego
","marginalrevolution.com/marginalrevolution/2016/01/the-minimum-wage-and-the-great-recession.html
marginalrevolution.com/marginalrevolution/2009/10/opium-in-afghanistan.html ",econweb.ucsd.edu/~j1clemens/,,,
15,Kelly Smith,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"Kelly Smith has a project to further extend and organize a parent-run charter school system in Arizona, Prenda, using Uber-like coordinating apps and “minimalist” educational methods.",Non profit,,"linkedin.com/in/kellysmith35/
facebook.com/people/Kelly-Smith/1421494579","Mesa, Arizona
Founder and CEO at Prenda
prenda.com/ ","marginalrevolution.com/marginalrevolution/2018/12/second-cohort-emergent-ventures-winners.html
marginalrevolution.com/marginalrevolution/2019/11/the-cwt-repackaging-of-my-conversation-with-zuckerberg-and-collison.html ",prendaschool.com/,,,
16,David Perell,1,2018-11-07,marginalrevolution.com/marginalrevolution/2018/11/emergent-ventures-grant-recipients.html,"David Perell, to encourage and support his work in podcasting and social media.",Career development,Middle,"linkedin.com/in/davidperell/
twitter.com/david_perell ","Austin, Texas
Founder: Write of Passage
writeofpassage.school/ ",marginalrevolution.com/marginalrevolution/2020/07/my-podcast-with-david-perell-on-the-tyler-cowen-production-function.html,perell.com/,,,
17,Kelly Smith,2,2018-12-14,marginalrevolution.com/marginalrevolution/2018/12/second-cohort-emergent-ventures-winners.html,"Kelly Smith has a for-profit project to further extend a parent-run charter school system in Arizona, using Uber-like coordinating apps and “minimalist” OER methods.",Startup,,linkedin.com/in/kellysmith35/,"Mesa, Arizona
Founder and CEO at Prenda
prenda.com/ ",-,prendalearn.medium.com/im-not-a-teacher-but-i-opened-a-school-278ddef1ca70,,,
